type	latitude	longitude	altitude (m)	course	slope (%)	distance (km)	distance_interval (m)	slope corrected
1	43.327829	-95.437994	450.3	90.3	0	88.6141	257.27	0
1	43.327815	-95.434821	451.3	90.3	0.4	88.8714	257.35	0.4
1	43.327801	-95.431649	451.3	90.3	0	89.1287	257.27	0
1	43.327772	-95.426175	451.3	90.4	0	89.5727	443.99	0
1	43.327753	-95.423189	450.7	90.5	-0.2	89.8149	242.19	-0.2
1	43.327735	-95.420204	450.2	90.5	-0.2	90.057	242.11	-0.2
1	43.327716	-95.417218	449.5	90.5	-0.3	90.2992	242.19	-0.3
1	43.327698	-95.414233	448.9	90.5	-0.2	90.5413	242.11	-0.2
1	43.327679	-95.409993	448.3	90.4	-0.2	90.8852	343.9	-0.2
1	43.327669	-95.407036	447	90.3	-0.5	91.125	239.83	-0.5
1	43.327656	-95.402193	446.2	90.2	-0.2	91.5178	392.8	-0.2
1	43.327653	-95.399757	445.7	90.1	-0.3	91.7154	197.58	-0.3
1	43.32765	-95.39806	445.2	90.1	-0.4	91.853	137.64	-0.4
1	43.32765	-95.395367	445.2	90	0	92.0715	218.42	0
1	43.32765	-95.392675	445.3	90	0	92.2898	218.34	0
1	43.32765	-95.389982	445.3	90	0	92.5082	218.42	0
1	43.327659	-95.386391	444.1	89.8	-0.4	92.7995	291.25	-0.4
1	43.327668	-95.382931	439.1	89.8	-1.8	93.0801	280.63	-1.8
1	43.327677	-95.379472	436.2	89.8	-1	93.3606	280.55	-1
1	43.327686	-95.376012	436.4	89.8	0.1	93.6413	280.63	0.1
1	43.327695	-95.372553	435.9	89.8	-0.2	93.9218	280.55	-0.2
1	43.3277	-95.367417	435.6	89.9	-0.1	94.3384	416.56	-0.1
1	43.3277	-95.364394	436.5	90	0.4	94.5836	245.18	0.4
1	43.3277	-95.36137	435.8	90	-0.3	94.8288	245.27	-0.3
1	43.3277	-95.358347	435.7	90	0	95.074	245.18	0
1	43.327702	-95.353489	438.8	90	0.8	95.468	394.01	0.8
1	43.327704	-95.350349	441	89.9	0.9	95.7227	254.67	0.9
1	43.327705	-95.347208	439.5	90	-0.6	95.9775	254.75	-0.6
1	43.327707	-95.344068	438.7	89.9	-0.3	96.2321	254.67	-0.3
1	43.327709	-95.340927	441.3	89.9	1	96.4869	254.75	1
1	43.327711	-95.335592	441.7	90	0.1	96.9196	432.7	0.1
